Name,Country,Domain,Web Page
Cégep de Saint-Jérôme,Canada,cstj.qc.ca,https://www.cstj.qc.ca
Lambton College,Canada,lambtoncollege.ca,https://www.lambtoncollege.ca
Acadia University,Canada,acadiau.ca,http://www.acadiau.ca/
Algonquin College,Canada,algonquincollege.com,http://www.algonquincollege.com/
Ashton College,Canada,ashtoncollege.com,http://www.ashtoncollege.com/
Assumption University,Canada,assumptionu.ca,http://www.assumptionu.ca/
Athabasca University,Canada,athabascau.ca,http://www.athabascau.ca/
Augustana University College,Canada,augustana.ab.ca,http://www.augustana.ab.ca/
British Columbia Institute of Technology,Canada,bcit.ca,http://www.bcit.ca/
British Columbia Open University,Canada,bcou.ca,http://www.bcou.ca/
William and Catherine Booth College,Canada,boothcollege.ca,http://www.boothcollege.ca/
Collège Boréal,Canada,borealc.on.ca,http://www.borealc.on.ca/
Bow Valley College,Canada,bowvalleycollege.ca,http://www.bowvalleycollege.ca/
Brandon University,Canada,brandonu.ca,http://www.brandonu.ca/
Brock University,Canada,brocku.ca,http://www.brocku.ca/
DeVry Institute of Technology,Canada,cal.devry.ca,http://www.cal.devry.ca/
Camosun College,Canada,camosun.bc.ca,http://www.camosun.bc.ca/
Capilano College,Canada,capcollege.bc.ca,http://www.capcollege.bc.ca/
University College of the Cariboo,Canada,cariboo.bc.ca,http://www.cariboo.bc.ca/
Carleton University,Canada,carleton.ca,http://www.carleton.ca/
Canadian College of Business & Computers,Canada,ccbc.ca,http://www.ccbc.ca/
Centennial College,Canada,centennialcollege.ca,http://www.centennialcollege.ca/
Canadian Mennonite University,Canada,cmu.ca,http://www.cmu.ca/
College of New Caledonia,Canada,cnc.bc.ca,http://www.cnc.bc.ca/
Columbia College,Canada,columbiacollege.ca,http://www.columbiacollege.ca/
Concordia University College of Alberta,Canada,concordia.ab.ca,http://www.concordia.ab.ca/
Concordia University,Canada,concordia.ca,http://www.concordia.ca/
Conestoga College,Canada,conestogac.on.ca,http://www.conestogac.on.ca/
College of the Rockies,Canada,cotr.bc.ca,http://www.cotr.bc.ca/
"University of Moncton, Shippagan",Canada,cus.ca,http://www.cus.ca/
"University of Moncton, Edmundston",Canada,cuslm.ca,http://www.cuslm.ca/
Dalhousie University,Canada,dal.ca,http://www.dal.ca/
Douglas College,Canada,douglas.bc.ca,http://www.douglas.bc.ca/
Durham College,Canada,dcmail.ca,https://durhamcollege.ca/
Emily Carr Institute of Art + Design,Canada,eciad.bc.ca,http://www.eciad.bc.ca/
"École nationale d'administration publique, Université du Québec",Canada,enap.uquebec.ca,http://www.enap.uquebec.ca/
"École de technologie supérieure, Université du Québec",Canada,etsmtl.ca,http://www.etsmtl.ca/
First Nations University of Canada,Canada,firstnationsuniversity.ca,http://www.firstnationsuniversity.ca/
George Brown College,Canada,gbrownc.on.ca,http://www.gbrownc.on.ca/
École des Hautes Études Commerciales,Canada,hec.ca,http://www.hec.ca/
Humber College,Canada,humber.ca,http://www.humber.ca/
Huron University College,Canada,huronuc.on.ca,http://www.huronuc.on.ca/
"Institut Armand-Frappier, Université du Québec",Canada,iaf.inrs.ca,http://www.iaf.inrs.ca/
"Institut National de la Recherche Scientifique, Université du Québec",Canada,inrs.uquebec.ca,http://www.inrs.uquebec.ca/
Kingston College,Canada,kingston.edu,http://www.kingston.edu/
King's University College,Canada,kingsu.ab.ca,http://www.kingsu.ab.ca/
Kwantleen University College,Canada,kwantlen.bc.ca,http://www.kwantlen.bc.ca/
Lakehead University,Canada,lakeheadu.ca,http://www.lakeheadu.ca/
Langara College,Canada,langara.bc.ca,http://www.langara.bc.ca/
Lansbridge University,Canada,lansbridge.com,http://www.lansbridge.com/
Laurentian University of Sudbury,Canada,laurentian.ca,http://www.laurentian.ca/
MacEwan University,Canada,macewan.ca,http://www.macewan.ca/
Malaspina University College,Canada,mala.bc.ca,http://www.mala.bc.ca/
McGill University,Canada,mcgill.ca,http://www.mcgill.ca/
McMaster University,Canada,mcmaster.ca,http://www.mcmaster.ca/
Mount Saint Vincent University,Canada,msvu.ca,http://www.msvu.ca/
Mount Allison University,Canada,mta.ca,http://www.mta.ca/
Mount Royal University,Canada,mtroyal.ca,http://www.mtroyal.ca/
Northern Alberta Institute of Technology,Canada,nait.ca,http://www.nait.ca/
North Island College,Canada,nic.bc.ca,http://www.nic.bc.ca/
Nipissing University,Canada,nipissingu.ca,http://www.nipissingu.ca/
Northern Lights College,Canada,nlc.bc.ca,http://www.nlc.bc.ca/
Nova Scotia Agricultural College,Canada,nsac.ns.ca,http://www.nsac.ns.ca/
Nova Scotia College of Art and Design,Canada,nscad.ns.ca,http://www.nscad.ns.ca/
Nicola Valley Institute of Technology,Canada,nvit.bc.ca,http://www.nvit.bc.ca/
Ontario College of Art and Design,Canada,ocad.ca,http://www.ocad.ca/
Okanagan University College,Canada,okanagan.bc.ca,http://www.okanagan.bc.ca/
Dominican College of Philosophy and Theology,Canada,op.org,http://www.op.org/canada/college.htm
Pacific International College,Canada,picollege.ca,http://www.picollege.ca/
"École Polytechnique de Montréal, Université de Montréal",Canada,polymtl.ca,http://www.polymtl.ca/
Queen's University,Canada,queensu.ca,http://www.queensu.ca/
Quest University,Canada,questu.ca,http://www.questu.ca/
Redeemer College,Canada,redeemer.ca,http://www.redeemer.ca/
Regent College,Canada,regent-college.edu,http://www.regent-college.edu/
Royal Military College of Canada,Canada,rmc.ca,http://www.rmc.ca/
Royal Roads University,Canada,royalroads.ca,http://www.royalroads.ca/
Ryerson Polytechnic University,Canada,ryerson.ca,http://www.ryerson.ca/
Southern Alberta Institute of Technology,Canada,sait.ca,http://www.sait.ca/
Luther College,Canada,saskweb.com,http://www.saskweb.com/luthercollege/
Sauder School of Business,Canada,sauder.ubc.ca,http://www.sauder.ubc.ca/
"University of Toronto, Scarborough",Canada,scar.utoronto.ca,http://www.scar.utoronto.ca/
Selkirk College,Canada,selkirk.bc.ca,http://www.selkirk.bc.ca/
Seneca College,Canada,senecacollege.ca,http://www.senecacollege.ca/
Simon Fraser University,Canada,sfu.ca,http://www.sfu.ca/
Sheridan College,Canada,sheridancollege.ca,http://www.sheridancollege.ca/
Saskatchewan Indian Federated College,Canada,sifc.edu,http://www.sifc.edu/
St. Clair College,Canada,stclairc.on.ca,http://www.stclairc.on.ca/
St. Francis Xavier University,Canada,stfx.ca,http://www.stfx.ca/
St. Mary's University,Canada,stmarys.ca,http://www.stmarys.ca/
St. Thomas University,Canada,stthomasu.ca,http://www.stthomasu.ca/
"Télé-université, Université du Québec",Canada,teluq.uquebec.ca,http://www.teluq.uquebec.ca/
Trent University,Canada,trentu.ca,http://www.trentu.ca/
University of Trinity College,Canada,trinity.utoronto.ca,http://www.trinity.utoronto.ca/
Thompson Rivers University,Canada,tru.ca,http://www.tru.ca/
Trinity Western University,Canada,twu.ca,http://www.twu.ca/
University of Alberta,Canada,ualberta.ca,http://www.ualberta.ca/
University of British Columbia,Canada,ubc.ca,http://www.ubc.ca/
Bishop's University,Canada,ubishops.ca,http://www.ubishops.ca/
University of Calgary,Canada,ucalgary.ca,http://www.ucalgary.ca/
University College of Cape Breton,Canada,uccb.ns.ca,http://www.uccb.ns.ca/
University of the Fraser Valley,Canada,ufv.ca,https://www.ufv.ca/
Memorial University of Newfoundland,Canada,ucs.mun.ca,http://www.ucs.mun.ca/
University of King's College,Canada,ukings.ns.ca,http://www.ukings.ns.ca/
Université Laval,Canada,ulaval.ca,http://www.ulaval.ca/
University of Lethbridge,Canada,uleth.ca,http://www.uleth.ca/
University of Manitoba,Canada,umanitoba.ca,http://www.umanitoba.ca/
University of Moncton,Canada,umoncton.ca,http://www.umoncton.ca/
Université de Montréal,Canada,umontreal.ca,http://www.umontreal.ca/
University of New Brunswick,Canada,unb.ca,http://www.unb.ca/
University of Northern British Columbia,Canada,unbc.ca,http://www.unbc.ca/
"University of New Brunswick, Saint John",Canada,unbsj.ca,http://www.unbsj.ca/
University Canada West,Canada,universitycanadawest.ca,http://www.universitycanadawest.ca/
University of Guelph,Canada,uoguelph.ca,http://www.uoguelph.ca/
University of Ontario Institute of Technology,Canada,uoit.ca,http://www.uoit.ca/
University of Ottawa,Canada,uottawa.ca,http://www.uottawa.ca/
University of Prince Edward Island,Canada,upei.ca,http://www.upei.ca/
Université du Québec à Chicoutimi,Canada,uqac.ca,http://www.uqac.ca/
Université du Québec à Montréal,Canada,uqam.ca,http://www.uqam.ca/
Université du Québec à Rimouski,Canada,uqar.uquebec.ca,http://www.uqar.uquebec.ca/
Université du Québec en Abitibi-Témiscamingue,Canada,uqat.uquebec.ca,http://www.uqat.uquebec.ca/
Université du Québec en Outaouais,Canada,uqo.ca,http://www.uqo.ca/
Université du Québec à Trois-Rivières,Canada,uqtr.uquebec.ca,http://www.uqtr.uquebec.ca/
University of Québec,Canada,uquebec.ca,http://www.uquebec.ca/
University of Regina,Canada,uregina.ca,http://www.uregina.ca/
University of Saskatchewan,Canada,usask.ca,http://www.usask.ca/
Université de Sherbrooke,Canada,usherb.ca,http://www.usherb.ca/
University of St. Jerome's College,Canada,usjc.uwaterloo.ca,http://www.usjc.uwaterloo.ca/
St. Anne University,Canada,ustanne.ednet.ns.ca,http://www.ustanne.ednet.ns.ca/
University College of Saint-Boniface,Canada,ustboniface.mb.ca,http://www.ustboniface.mb.ca/
St. Paul University,Canada,ustpaul.ca,http://www.ustpaul.ca/
University of Sudbury,Canada,usudbury.com,http://www.usudbury.com/
"University of Toronto, Mississauga",Canada,utm.utoronto.ca,http://www.utm.utoronto.ca/
University of Toronto,Canada,utoronto.ca,http://www.utoronto.ca/
University of Victoria,Canada,uvic.ca,http://www.uvic.ca/
University of Waterloo,Canada,uwaterloo.ca,http://www.uwaterloo.ca/
University of Windsor,Canada,uwindsor.ca,http://www.uwindsor.ca/
University of Winnipeg,Canada,uwinnipeg.ca,http://www.uwinnipeg.ca/
University of Western Ontario,Canada,uwo.ca,http://www.uwo.ca/
Vancouver Community College,Canada,vcc.ca,http://www.vcc.ca/
"Victoria University Toronto, University of Toronto",Canada,vicu.utoronto.ca,http://vicu.utoronto.ca/
Wilfrid Laurier University,Canada,wlu.ca,http://www.wlu.ca/
York University,Canada,yorku.ca,http://www.yorku.ca/
Yukon College,Canada,yukoncollege.yk.ca,http://www.yukoncollege.yk.ca/
Mohawk College,Canada,mohawkcollege.ca,https://www.mohawkcollege.ca/
College of Bois-de-Boulogne,Canada,bdeb.qc.ca,https://www.bdeb.qc.ca/
Fanshawe College,Canada,fanshawec.ca,https://www.fanshawec.ca/
Vanier College,Canada,vaniercollege.qc.ca,https://www.vaniercollege.qc.ca/
Ontario Tech University,Canada,ontariotechu.ca,https://ontariotechu.ca/
Toronto Metropolitan University,Canada,torontomu.ca,https://www.torontomu.ca/
Collège Universel Gatineau,Canada,collegeuniversel.ca,https://collegeuniversel.ca/
